Single_cell_hub_genes,Spatial_shared_hub_genes,Intersecting Hub Genes
SPDEF,COL3A1,FN1
MMP14,FN1,LUM
SERF2,LUM,XBP1
GNAI2,COL1A2,S100A10
GAPDH,POSTN,HNRNPA2B1
MMP11,FSTL1,COL5A1
GLIS2,COL1A1,RPLP0
GADD45GIP1,COL6A3,RPS27
CD63,XBP1,COL6A2
TCEB2,SPARC,IGFBP7
IGFBP7,S100A10,H3F3A
SMG7,COL12A1,MFAP2
RPL29,GNAS,DPYSL3
VIM,MMP11,VIM
MRC2,AEBP1,COL16A1
S100A14,HNRNPA2B1,RPS14
CD81,COL5A1,HTRA1
CIRBP,SELT,CD63
TUBA1B,ASPN,RPL3
MYL9,RPLP0,
ATP5B,STAT1,
HNRNPA2B1,SSR4,
TPI1,RPS11,
XBP1,TMSB4X,
SELM,RPS27,
APOE,COL6A2,
LMNA,VWF,
S100A10,SAA1,
PODXL2,DBI,
CYC1,IGFBP7,
GPAA1,RPL36,
LGALS3,RPLP1,
RPS15,TFF3,
SPNS1,APOD,
MAPK3,B2M,
HTRA1,H3F3A,
CXCL12,TIMP3,
RPS27,MFAP2,
ADAM15,KLF6,
FN1,DCN,
DPYSL3,AZGP1,
FXYD3,FOS,
C1R,DPYSL3,
COL5A1,VIM,
RPLP0,PEG10,
ROMO1,COL16A1,
EEF1A1,ADIRF,
RPL10,RPS18,
RPS14,TGFB1,
COL6A2,MGP,
LRP1,CHCHD2,
TECR,RPS14,
SPINT2,HTRA1,
RPL3,RPS4X,
LUM,CD63,
BSG,RPL30,
MYO1C,SPPL2B,
CD55,RPL3,
RPS9,LRRC15,
COX6B1,,
NDUFA11,,
GGCT,,
COL10A1,,
LDHA,,
COL16A1,,
MAFB,,
NDUFB10,,
MFAP2,,
LGMN,,
LDHB,,
H3F3A,,
MGST3,,
MIF,,
YIF1B,,
BCAP31,,
EIF4G2,,
KRT17,,